"species","region","minimum.age","maximum.age","family","Site"
"Palaeoloxodon recki","Africa","0.8","1.55","Elephantidae",676
"Palaeoloxodon tiliensis","Eurasia","0.012","0.126","Elephantidae",677
"Platelephas platycephalus","Eurasia","2.6","3.56","Elephantidae",678
"Platelephas platycephalus","Eurasia","0.63","2","Elephantidae",362
"Primelephas korotorensis","Africa","6.54","7.44","Elephantidae",10
"Primelephas korotorensis","Africa","5.3","7.1","Elephantidae",679
"Primelephas korotorensis","Africa","5.3","6.54","Elephantidae",11
"Primelephas korotorensis","Africa","5.6","6.3","Elephantidae",680
"Primelephas korotorensis","Africa","5.6","6.3","Elephantidae",681
"Primelephas korotorensis","Africa","5.6","6.2","Elephantidae",682
"Primelephas korotorensis","Africa","5.6","6.2","Elephantidae",683
"Primelephas korotorensis","Africa","5.7","5.7","Elephantidae",12
"Primelephas korotorensis","Africa","5.2","5.6","Elephantidae",14
"Primelephas korotorensis","Africa","5.54","5.6","Elephantidae",15
"Primelephas korotorensis","Africa","5.54","5.6","Elephantidae",15
"Primelephas korotorensis","Africa","5","5.5","Elephantidae",684
"Primelephas korotorensis","Africa","3.6","5.33","Elephantidae",685
"Primelephas korotorensis","Africa","2.6","5.33","Elephantidae",20
"Primelephas korotorensis","Africa","4.2","5.3","Elephantidae",686
"Primelephas korotorensis","Africa","5.2","5.2","Elephantidae",25
"Primelephas korotorensis","Africa","3.6","5.33","Elephantidae",687
"Primelephas korotorensis","Africa","3.6","5.33","Elephantidae",412
"Primelephas korotorensis","Africa","4.2","5.3","Elephantidae",688
"Primelephas korotorensis","Africa","4.2","5.3","Elephantidae",688
"Stegodibelodon schneideri","Africa","5.2","6.48","Elephantidae",689
"Stegodibelodon schneideri","Africa","3.6","5.33","Elephantidae",687
"Stegoloxodon celebensis","Eurasia","2.588","3.6","Elephantidae",690
"Stegoloxodon celebensis","Eurasia","2.588","3.6","Elephantidae",691
"Stegoloxodon celebensis","Eurasia","2.588","3.6","Elephantidae",692
"Stegoloxodon celebensis","Eurasia","2.588","3.6","Elephantidae",693
"Stegoloxodon celebensis","Eurasia","2.588","3.6","Elephantidae",693
"Stegoloxodon celebensis","Eurasia","2.588","3.6","Elephantidae",694
"Stegoloxodon celebensis","Eurasia","2.588","3.6","Elephantidae",695
"Stegoloxodon celebensis","Eurasia","2.588","3.6","Elephantidae",696
"Stegoloxodon celebensis","Eurasia","2.588","3.6","Elephantidae",697
"Stegoloxodon celebensis","Eurasia","2.588","3.6","Elephantidae",698
